sub-10015/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,acq,val,
sub-10659sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.94711,2.07215,20.0079,4.92612
sub-10690sp/L1_task-sharedreward_model-1_type-act_acq-mb2me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.924676,2.06162,18.7014,4.97975
sub-10690sp/L1_task-sharedreward_model-1_type-act_acq-mb3me1fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.927218,2.07316,18.4958,5.00312
sub-10690sp/L1_task-sharedreward_model-1_type-act_acq-mb3me3_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.94459,2.08547,18.7929,4.97212
sub-10690sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.941698,2.08218,19.0066,4.97442
sub-10690sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.980517,2.12456,18.452,4.95022
sub-10691sp/L1_task-sharedreward_model-1_type-act_acq-mb2me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938198,2.0863,18.1966,4.99759
sub-10691sp/L1_task-sharedreward_model-1_type-act_acq-mb3me1fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.934748,2.06669,17.664,4.95033
sub-10691sp/L1_task-sharedreward_model-1_type-act_acq-mb3me3_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.955794,2.1242,18.784,5.04473
sub-10691sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.948686,2.08829,18.2463,4.96273
sub-10691sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.975085,2.13549,18.1403,5.00317
sub-10716/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.906067,2.05128,9.1733,4.92159
sub-10716/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938786,2.07224,14.4416,4.9353
sub-10716/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.953564,2.08492,17.8167,4.93254
sub-10723sp/L1_task-sharedreward_model-1_type-act_acq-mb2me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.908437,2.07748,15.194,5.06917
sub-10723sp/L1_task-sharedreward_model-1_type-act_acq-mb3me1fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.877898,2.02784,8.81384,4.92746
sub-10723sp/L1_task-sharedreward_model-1_type-act_acq-mb3me3_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.923242,2.05899,19.6119,4.98177
sub-10723sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.922966,2.06767,17.9358,5.00096
sub-10723sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.959595,2.10118,18.8631,4.96073
sub-10738/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.96367,2.08624,18.6291,4.90002
sub-10738/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.973755,2.1171,18.8903,4.95406
sub-10741sp/L1_task-sharedreward_model-1_type-act_acq-mb2me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.893937,2.04761,20.4174,5.07484
sub-10741sp/L1_task-sharedreward_model-1_type-act_acq-mb3me1fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.911927,2.05267,14.4502,4.9757
sub-10741sp/L1_task-sharedreward_model-1_type-act_acq-mb3me3_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.943082,2.09072,19.5655,4.99638
sub-10741sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.924847,2.0597,19.3818,4.97635
sub-10741sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.960684,2.12614,19.6288,5.03345
sub-10777sp/L1_task-sharedreward_model-1_type-act_acq-mb2me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.878398,2.0161,16.398,5.01606
sub-10777sp/L1_task-sharedreward_model-1_type-act_acq-mb3me1fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.883546,2.02456,12.9699,4.98148
sub-10777sp/L1_task-sharedreward_model-1_type-act_acq-mb3me3_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.925105,2.06102,19.7737,4.98087
sub-10777sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.903292,2.01522,19.1187,4.9314
sub-10777sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.933826,2.05593,19.3206,4.92871
sub-10803sp/L1_task-sharedreward_model-1_type-act_acq-mb2me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.890113,2.01743,20.3199,5.00025
sub-10803sp/L1_task-sharedreward_model-1_type-act_acq-mb3me1fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.919565,2.01661,18.7926,4.86777
sub-10803sp/L1_task-sharedreward_model-1_type-act_acq-mb3me3_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928711,2.06605,20.4685,4.98384
sub-10803sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4fa50_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.915273,2.04692,20.2819,4.98153
sub-10803sp/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.961897,2.08817,19.9697,4.91539
sub-12042/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.922366,2.02955,16.9012,4.88502
sub-12042/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.928432,2.06063,17.7096,4.95723
sub-12042/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.938749,2.0508,17.0086,4.88514
sub-12042/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.942978,2.07869,17.8318,4.95475
sub-12042/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.96034,2.08996,17.2563,4.9203
sub-12042/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-5mm.txt,,,
0.966583,2.09893,17.8223,4.92493
